Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory  Tregs	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
CSICR_0043.tsv	0.00240106915442655	0.00000000000000000	0.00548189060558239	0.08959998598986492	0.02793409871894058	0.11618369088321921	0.03518677492294540	0.00000000000000000	0.00000000000000000	0.06915901212164868	0.00000000000000000	0.14187718327259943	0.30330627788172526	0.00311956345653408	0.00000000000000000	0.00000000000000000	0.00000734591170365	0.00242846861064496	0.00000000000000000	0.00816498678735197	0.00000000000000000	0.19514965168281292	0.00000000000000000	0.81929838841831637	0.62561079441836631
CSICR_0046.tsv	0.04388044362267857	0.00000000000000000	0.00000000000000000	0.06250737390036927	0.06225957518193987	0.18616462187012875	0.01826954607262538	0.00000000000000000	0.00000000000000000	0.02327617368791995	0.00000000000000000	0.09209047820031754	0.23549673176569277	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00059779310757760	0.00261077958151942	0.00332939892653325	0.00000000000000000	0.00000000000000000	0.26951708408269753	0.00000000000000000	0.81694683978572946	0.62857513845934965
CSICR_0047.tsv	0.00906999653451700	0.00000000000000000	0.00172312416211716	0.06877538434519180	0.00000000000000000	0.19524854646285947	0.01475374052374351	0.00000000000000000	0.00000000000000000	0.01452587667215128	0.00000000000000000	0.11282863634562484	0.34459330760802753	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00295650331698108	0.00000000000000000	0.01327853416035108	0.00000000000000000	0.22224634986843528	0.00000000000000000	0.82995292193354109	0.61462642729361672
CSICR_0048.tsv	0.00515111131060890	0.00000000000000000	0.00344229438779648	0.01799825622548388	0.01386103603134252	0.16296764939150343	0.00300049374864663	0.00000000000000000	0.00000000000000000	0.05343703819717999	0.00030568673013918	0.06748787388527026	0.46756447794253159	0.00879858551200973	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00065239280349579	0.01072109533351175	0.00000000000000000	0.00000000000000000	0.18461200850047982	0.00000000000000000	0.84100336685227239	0.59738006529006160
CSICR_0049.tsv	0.03934793541026933	0.00000000000000000	0.00000000000000000	0.04337627252725500	0.00000000000000000	0.17055801746821847	0.00645044110226718	0.00000000000000000	0.00000000000000000	0.05768567685071102	0.00000000000000000	0.06009626597776122	0.40683096744070180	0.00000000000000000	0.00000000000000000	0.00016983416235686	0.00000000000000000	0.00351439362562831	0.01261045034984258	0.00000000000000000	0.00000000000000000	0.19935974508498835	0.00000000000000000	0.77589559689237353	0.66372765954021762
CSICR_0050.tsv	0.01030647353457746	0.01462030491460401	0.01333894685173201	0.05086260134130028	0.06208083200058315	0.07530596319816206	0.03592706595465147	0.00000000000000000	0.00000000000000000	0.02666258572955473	0.00000000000000000	0.06798364050127112	0.30627064548502275	0.00077017620266608	0.00000000000000000	0.00000000000000000	0.00998786762955256	0.00466232330787391	0.00878997604606477	0.00000000000000000	0.00000000000000000	0.31243059730238371	0.00000000000000000	0.83266910851411580	0.59957287018803418
CSICR_0052.tsv	0.00380126966199017	0.02398157469410723	0.01390433882164725	0.02802750824747246	0.04889328759184615	0.05900854522022405	0.00000000000000000	0.00000000000000000	0.00322152124414693	0.02460661496861201	0.00000000000000000	0.05376777109716306	0.21231303449216407	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.01478070576630142	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.51369382819432508	0.00000000000000000	0.84588577975006152	0.54322022755296895
CSICR_0053.tsv	0.01246057427292687	0.00464019828285207	0.00804105019658559	0.09303764332966860	0.05436252689213335	0.10260849318019760	0.01742389637347316	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.12128840736505993	0.31733944278940740	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00057204012270941	0.00901857130741952	0.00000000000000000	0.00160613499187935	0.00000000000000000	0.25760102089568704	0.00000000000000000	0.86163945145983667	0.57933383446407483
CSICR_0054.tsv	0.03017245870849675	0.00000000000000000	0.00101854758381703	0.03783685223205781	0.05722049144288430	0.18012354252291621	0.03128575478300338	0.00000000000000000	0.00000000000000000	0.04728385955642019	0.00000000000000000	0.07472493193385210	0.22840191804622095	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00269832910915811	0.00000000000000000	0.00355587811842881	0.00000000000000000	0.30567743596274433	0.00000000000000000	0.85697150579176884	0.58212197293449541
CSICR_0057.tsv	0.01580632007516667	0.00000000000000000	0.00127972908055326	0.07659769760176686	0.00000000000000000	0.17842714494696937	0.02514596582489554	0.00000000000000000	0.00000000000000000	0.03174156096434562	0.00000000000000000	0.06039554172340129	0.25910384481643683	0.01122117079962870	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00299558104733003	0.03210172103450009	0.00000000000000000	0.00000000000000000	0.30518372208500560	0.00000000000000000	0.85668000611411532	0.58295433973193311
