	symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B	description
ENSG00000133561	GIMAP6	0.023406473719743	-0.0060008710532948	0.665169247446858	0.506190652857102	0.598876353657268	-6.54261248910505	GTPase, IMAP family member 6
ENSG00000143819	EPHX1	-0.013586071908113	0.00263653488598274	-0.665064214741204	0.506257781204303	0.598876353657268	-6.54268149181207	epoxide hydrolase 1
ENSG00000188549	CCDC9B	-0.0129826441079913	-0.00121626943194433	-0.664988734828701	0.506306024712578	0.598876353657268	-6.54273107267838	coiled-coil domain containing 9B
ENSG00000230454	LINC03143	-0.0179974025363071	0.00183135888608033	-0.663997592224881	0.506939745182657	0.599538873894692	-6.54338160810871	long intergenic non-protein coding RNA 3143
ENSG00000168439	STIP1	0.014921544796447	-0.0129244460906998	0.662901769472404	0.507640882483575	0.600280921577921	-6.54409972242154	stress induced phosphoprotein 1
ENSG00000244242	IFITM10	0.0153496988062267	0.00788000782207826	0.662447780850558	0.507931506222034	0.600537395584042	-6.5443968831537	interferon induced transmembrane protein 10
ENSG00000143761	ARF1	0.00439813763187333	0.00260487002680357	0.662157351762942	0.508117472164638	0.600559484381686	-6.54458687847726	ARF GTPase 1
ENSG00000183150	GPR19	-0.00724237931346615	-0.00531642444809298	-0.662076851758713	0.508169023817727	0.600559484381686	-6.54463952591591	G protein-coupled receptor 19
ENSG00000150625	GPM6A	0.0173115057744007	-0.0256813591599795	0.662073157967137	0.508171389362625	0.600559484381686	-6.54464194152215	glycoprotein M6A
ENSG00000008311	AASS	-0.00742739242621274	0.00571454733691061	-0.661768439123698	0.50836655461347	0.600702972193052	-6.54484117029602	aminoadipate-semialdehyde synthase
ENSG00000271789	NA	0.019236668632002	-0.00827368268545789	0.661639102919655	0.50844940331938	0.600713720631904	-6.54492570414581	NA
ENSG00000119844	AFTPH	-0.00642743764032085	-0.00646846670970581	-0.661084752932188	0.508804582874351	0.601046167876953	-6.5452878391304	aftiphilin
ENSG00000108064	TFAM	0.00587186747395173	-0.00349706520443106	0.660431618360082	0.509223222253213	0.601453472339389	-6.54571411725167	transcription factor A, mitochondrial
ENSG00000281327	LOC124901020	0.00472402372917837	-0.00541100366876572	0.660072953741499	0.509453192258916	0.60163784992734	-6.54594802615067	uncharacterized LOC124901020
ENSG00000237457	BRINP3-DT	0.011046072062833	-0.0105828890962715	0.659240985854844	0.509986846541498	0.602180757477603	-6.54649011886762	BRINP3 divergent transcript
ENSG00000110700	RPS13	-0.00832174062154597	-0.00806417447256913	-0.658597185675054	0.510400004383514	0.602581248833703	-6.54690913691394	ribosomal protein S13
ENSG00000156011	PSD3	0.00842605665101909	-0.00696831674134555	0.658351587532349	0.51055766285782	0.60259575648453	-6.54706887700546	pleckstrin and Sec7 domain containing 3
ENSG00000085415	SEH1L	-0.00602799616295004	0.00107165973682533	-0.65834754249455	0.510560259729864	0.60259575648453	-6.54707150745038	SEH1 like nucleoporin
ENSG00000085552	IGSF9	0.00603299276819961	0.00570572408002239	0.658095161186631	0.510722299583105	0.602699671124948	-6.54723559640732	immunoglobulin superfamily member 9
ENSG00000112559	MDFI	-0.00900134575192263	0.00173684878283652	-0.657970069603557	0.510802623843988	0.602707137651642	-6.54731690302349	MyoD family inhibitor
ENSG00000240877	RN7SL521P	-0.0254417386517951	-0.00916280085084113	-0.657609977057403	0.511033884715841	0.602809842499081	-6.54755086862995	RNA, 7SL, cytoplasmic 521, pseudogene
ENSG00000185627	PSMD13	0.00537341765383077	0.000350949375413101	0.657597211694252	0.511042083972889	0.602809842499081	-6.54755916041679	proteasome 26S subunit, non-ATPase 13
ENSG00000101460	MAP1LC3A	-0.00895081574191889	0.00828187527829791	-0.657488835958924	0.511111697028687	0.602809842499081	-6.54762954978533	microtubule associated protein 1 light chain 3 alpha
